ソートキー,日付,YouTube形式,詳細区分,特徴タグ,コラボ,掲載ch,配信タイトル,URL,動画ID,曲順,歌唱ID,曲名,曲名よみ,アーティスト名,検索用アーティスト名,検索用アーティスト名よみ,関連元,開始時間,曲リンク,備考
20260529-2-007,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,7,qh_2g6lQipk-07,カワキヲアメク,,美波,,みなみ,,1:06:30,この曲を聴く,
20260529-2-008,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,8,qh_2g6lQipk-08,君じゃなきゃダメみたい,きみじゃなきゃだめみたい,オーイシマサヨシ,,,,1:13:48,この曲を聴く,
20260529-2-009,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,9,qh_2g6lQipk-09,モニタリング,,DECO*27 feat. 初音ミク,DECO*27 / 初音ミク,DECO*27 / はつねみく,,1:21:30,この曲を聴く,
20260529-2-010,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,10,qh_2g6lQipk-10,テルーの唄,,手嶌葵,,てしまあおい,,1:41:00,この曲を聴く,
20260529-2-011,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,11,qh_2g6lQipk-11,タッチ,,岩崎良美,,いわさきよしみ,,1:51:40,この曲を聴く,
20260530-3-000,2026/05/30,Video,歌ってみた,,,,【歌ってみた】JANE DOE【covered by 汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=8QXJtwJ15S0,8QXJtwJ15S0,0,8QXJtwJ15S0-00,JANE DOE,,"米津玄師, 宇多田ヒカル",米津玄師 / 宇多田ヒカル,よねづけんし / うただひかる,,0,この曲を聴く,
20260601-1-000,2026/06/01,Shorts,新作ショート,,,,【アカペラ】セレナーデ歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/7OckjR_zP1U,7OckjR_zP1U,0,7OckjR_zP1U-00,セレナーデ,,なとり,,,KcRLqkeQuNI-00,0,この曲を聴く,
20260601-1-000,2026/06/01,Shorts,歌みた切り抜き,,,,JANE DOE cover【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/DS3hLEcyp0A,DS3hLEcyp0A,0,DS3hLEcyp0A-00,JANE DOE,,"米津玄師, 宇多田ヒカル",米津玄師 / 宇多田ヒカル,よねづけんし / うただひかる,8QXJtwJ15S0-00,0,この曲を聴く,
20260603-1-000,2026/06/03,Shorts,新作ショート,,,,『ロミオとシンデレラ』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/ulAI2MaZTZQ,ulAI2MaZTZQ,0,ulAI2MaZTZQ-00,ロミオとシンデレラ,,doriko feat. 初音ミク,doriko / 初音ミク,doriko / はつねみく,,0,この曲を聴く,
20260604-1-000,2026/06/04,Shorts,歌みた切り抜き,,,,JANE DOE cover【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/rzTToFO96sg,rzTToFO96sg,0,rzTToFO96sg-00,JANE DOE,,"米津玄師, 宇多田ヒカル",米津玄師 /  宇多田ヒカル,よねづけんし / うただひかる,8QXJtwJ15S0-00,0,この曲を聴く,
20260604-2-001,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,1,mkwlGSCKEds-01,丸ノ内サディスティック,まるのうちさでぃすてぃっく,椎名林檎,,しいなりんご,,0:02:25,この曲を聴く,
20260604-2-002,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,2,mkwlGSCKEds-02,好きすぎて滅！,すきすぎてめつ,M!LK,,,,0:19:20,この曲を聴く,
